Change Physical Footprint: Designator=PB3 Old Footprint=FP_CONN4_TUSKE_254MM New Footprint=FP_CONN4_TUSKE_254MM
Change Physical Footprint: Designator=PC Old Footprint=FP_CONN2_TUSKE_254MM New Footprint=FP_CONN2_TUSKE_254MM
Change Physical Footprint: Designator=PC1 Old Footprint=FP_CONN4_TUSKE_254MM New Footprint=FP_CONN4_TUSKE_254MM
Change Physical Footprint: Designator=PC2 Old Footprint=FP_CONN4_TUSKE_254MM New Footprint=FP_CONN4_TUSKE_254MM
Change Physical Footprint: Designator=PC3 Old Footprint=FP_CONN4_TUSKE_254MM New Footprint=FP_CONN4_TUSKE_254MM
Change Physical Footprint: Designator=PD1 Old Footprint=FP_CONN4_TUSKE_254MM New Footprint=FP_CONN4_TUSKE_254MM
Change Physical Footprint: Designator=PD2 Old Footprint=FP_CONN4_TUSKE_254MM New Footprint=FP_CONN4_TUSKE_254MM
Change Physical Footprint: Designator=PD3 Old Footprint=FP_CONN4_TUSKE_254MM New Footprint=FP_CONN4_TUSKE_254MM
Change Physical Footprint: Designator=PE1 Old Footprint=FP_CONN4_TUSKE_254MM New Footprint=FP_CONN4_TUSKE_254MM
Change Physical Footprint: Designator=PE2 Old Footprint=FP_CONN4_TUSKE_254MM New Footprint=FP_CONN4_TUSKE_254MM
Change Physical Footprint: Designator=PE3 Old Footprint=FP_CONN4_TUSKE_254MM New Footprint=FP_CONN4_TUSKE_254MM
Change Physical Footprint: Designator=PESP1 Old Footprint=FP_CONN4_TUSKE_254MM New Footprint=FP_CONN4_TUSKE_254MM
Change Physical Footprint: Designator=PESP2 Old Footprint=FP_CONN4_TUSKE_254MM New Footprint=FP_CONN4_TUSKE_254MM
Change Physical Footprint: Designator=PESP3 Old Footprint=FP_CONN4_TUSKE_254MM New Footprint=FP_CONN4_TUSKE_254MM
Change Physical Footprint: Designator=PESP4 Old Footprint=FP_CONN4_TUSKE_254MM New Footprint=FP_CONN4_TUSKE_254MM
Change Physical Footprint: Designator=PESP5 Old Footprint=FP_CONN4_TUSKE_254MM New Footprint=FP_CONN4_TUSKE_254MM
Change Physical Footprint: Designator=PESP6 Old Footprint=FP_CONN4_TUSKE_254MM New Footprint=FP_CONN4_TUSKE_254MM
Change Physical Footprint: Designator=PESP7 Old Footprint=FP_CONN4_TUSKE_254MM New Footprint=FP_CONN4_TUSKE_254MM
Change Physical Footprint: Designator=PESP8 Old Footprint=FP_CONN2_TUSKE_254MM New Footprint=FP_CONN2_TUSKE_254MM
Change Physical Footprint: Designator=PH1 Old Footprint=FP_CONN2_TUSKE_254MM New Footprint=FP_CONN2_TUSKE_254MM
Change Physical Footprint: Designator=PM Old Footprint=TO254P483X1028X2284-3P - extended New Footprint=TO254P483X1028X2284-3P - extended
Change Physical Footprint: Designator=PRST Old Footprint=FP_CONN3_TUSKE_254MM New Footprint=FP_CONN3_TUSKE_254MM
Change Physical Footprint: Designator=R1 Old Footprint=FP_0805_RES New Footprint=FP_0805_RES
Change Physical Footprint: Designator=R2 Old Footprint=FP_0805_RES New Footprint=FP_0805_RES
Change Physical Footprint: Designator=R3 Old Footprint=FP_0805_RES New Footprint=FP_0805_RES
Change Physical Footprint: Designator=R4 Old Footprint=FP_0805_RES New Footprint=FP_0805_RES
Change Physical Footprint: Designator=R5 Old Footprint=FP_0805_RES New Footprint=FP_0805_RES
Change Physical Footprint: Designator=R6 Old Footprint=FP_0805_RES New Footprint=FP_0805_RES
Change Physical Footprint: Designator=R7 Old Footprint=FP_0805_RES New Footprint=FP_0805_RES
Change Physical Footprint: Designator=R8 Old Footprint=FP_0805_RES New Footprint=FP_0805_RES
Change Physical Footprint: Designator=R9 Old Footprint=FP_0805_RES New Footprint=FP_0805_RES
Change Physical Footprint: Designator=R10 Old Footprint=FP_0805_RES New Footprint=FP_0805_RES
Change Physical Footprint: Designator=R11 Old Footprint=FP_0805_RES New Footprint=FP_0805_RES
Change Physical Footprint: Designator=R12 Old Footprint=FP_0805_RES New Footprint=FP_0805_RES
Change Physical Footprint: Designator=RST Old Footprint=FP_BTN_SMD New Footprint=FP_BTN_SMD
Change Physical Footprint: Designator=SENS Old Footprint=FP_CONN3_TUSKE_254MM New Footprint=FP_CONN3_TUSKE_254MM
Change Physical Footprint: Designator=SERV Old Footprint=FP_CONN3_TUSKE_254MM New Footprint=FP_CONN3_TUSKE_254MM
Change Physical Footprint: Designator=STM32 Old Footprint=LQFP100-14x14mm New Footprint=LQFP100-14x14mm
Change Physical Footprint: Designator=USB Old Footprint=USB4056-03-A_REVA2 New Footprint=USB4056-03-A_REVA2
Change Physical Footprint: Designator=VREG Old Footprint=TMU31211 New Footprint=TMU31211
